Time,Mach,Alpha_D,Altitude,Latitude,Longitude
172,1.531248902,1.564236893,50582.01116,33.10846908,-97.80709531
173,1.531240406,1.556746846,50564.66402,33.10923535,-97.81181869
174,1.531234106,1.552542062,50547.31791,33.11000313,-97.81654205
175,1.531229225,1.55074417,50529.95655,33.11077241,-97.82126541
176,1.531225302,1.549239923,50512.58319,33.1115432,-97.82598876
177,1.531222201,1.547026077,50495.20687,33.1123155,-97.83071211
178,1.531219935,1.544121958,50477.83254,33.11308931,-97.83543546
179,1.531218571,1.541007144,50460.45978,33.11386462,-97.84015882
180,1.531218013,1.538052717,50443.08587,33.11464145,-97.84488219
181,1.531218145,1.535326286,50425.70883,33.1154198,-97.84960557
182,1.531218956,1.532665458,50408.32793,33.11619967,-97.85432895
183,1.531220272,1.530166453,50390.94421,33.11698106,-97.85905235
184,1.531222136,1.527623931,50373.55775,33.117764,-97.86377575
185,1.531224202,1.524841039,50356.16933,33.11854847,-97.86849917
186,1.531226608,1.522044502,50338.77969,33.11933449,-97.87322259
187,1.531229099,1.519197078,50321.38769,33.12012204,-97.87794603
188,1.531232345,1.517956219,50303.98626,33.12091114,-97.88266947
189,1.531234488,1.515675051,50286.58028,33.12170178,-97.88739293
190,1.531237055,1.511255474,50269.18551,33.12249397,-97.89211641
191,1.531240079,1.507669196,50251.7919,33.12328771,-97.89683989
192,1.531243352,1.505209521,50234.39022,33.124083,-97.90156338
193,1.531246497,1.502958989,50216.98072,33.12487987,-97.90628688
194,1.531249623,1.500456379,50199.56796,33.1256783,-97.91101038
195,1.53125261,1.49779816,50182.15327,33.1264783,-97.9157339
196,1.531255447,1.494996405,50164.73709,33.12727987,-97.92045741
197,1.531258108,1.492132225,50147.3192,33.12808301,-97.92518094
198,1.531260645,1.489331299,50129.89894,33.12888772,-97.92990447
199,1.531263053,1.486654644,50112.47542,33.129694,-97.934628
200,1.531265459,1.48434533,50095.04732,33.13050185,-97.93935154
201,1.531268665,1.487510356,50077.59741,33.13131128,-97.94407509
202,1.531269761,1.482128185,50060.15218,33.13212229,-97.94879863
203,1.531271532,1.47561334,50042.73554,33.13293489,-97.95352218
204,1.531273391,1.471712788,50025.31723,33.13374908,-97.95824572
205,1.531274625,1.469660266,50007.88295,33.13456486,-97.96296926
206,1.531275357,1.467865085,49990.43726,33.13538222,-97.9676928
207,1.531275588,1.465672434,49972.9869,33.13620116,-97.97241633
208,1.531275507,1.463209533,49955.53528,33.13702168,-97.97713986
209,1.531275026,1.460278941,49938.08368,33.13784378,-97.98186338
210,1.531274473,1.457188042,49920.63244,33.13866747,-97.9865869
211,1.531273879,1.45438016,49903.17849,33.13949274,-97.99131041
212,1.531273249,1.451891182,49885.71998,33.14031959,-97.99603391
213,1.531272481,1.449363063,49868.25757,33.14114804,-98.00075741
214,1.531271638,1.446689505,49850.79296,33.14197807,-98.00548089
215,1.531270708,1.443979688,49833.32622,33.1428097,-98.01020436
216,1.531269757,1.44154461,49815.85601,33.14364291,-98.01492783
